Pipe,Flow_m3_s,Flow_LPS
P_Reservoir1_J1,1.3065268,1306.5267
P_Reservoir2_J2,0.11352991,113.529915
P_Reservoir3_J3,1.9705756,1970.5756
P_Borewell1_J4,4.695328,4695.328
P_Borewell2_J5,1.2508904,1250.8904
P_Reservoir1_J6,0.618414,618.414
P_Reservoir2_J7,3.474464,3474.4639
P_Reservoir3_J8,1.5528686,1552.8687
P_Borewell1_J9,4.782196,4782.1963
P_Borewell2_J10,0.32883018,328.83017
P_Reservoir1_J11,0.7529621,752.9621
P_Reservoir2_J12,1.6262836,1626.2837
P_Reservoir3_J13,0.866202,866.202
P_Borewell1_J14,3.1621726,3162.1726
P_Borewell2_J15,1.6870108,1687.0107
P_Reservoir1_J16,1.0965129,1096.513
P_Reservoir2_J17,1.5075182,1507.5182
P_Reservoir3_J18,1.1602364,1160.2363
P_Borewell1_J19,0.9858409,985.84094
P_Borewell2_J20,0.8439546,843.95465
P_Reservoir1_J21,1.9453416,1945.3416
P_Reservoir2_J22,0.9232273,923.2273
P_Reservoir3_J23,2.2999966,2299.9966
P_Borewell1_J24,2.78046,2780.46
P_Borewell2_J25,1.42096,1420.96
P_Reservoir1_J26,3.0540833,3054.0833
P_Reservoir2_J27,3.339579,3339.579
P_Reservoir3_J28,2.1191401,2119.1401
P_Borewell1_J29,1.5588626,1558.8625
P_Borewell2_J30,1.6083885,1608.3885
P_Reservoir1_J31,0.67312205,673.1221
P_Reservoir2_J32,1.3049146,1304.9146
P_Reservoir3_J33,0.69138736,691.3873
P_Borewell1_J34,0.5556917,555.6917
P_Borewell2_J35,0.9235135,923.5135
P_Reservoir1_J36,1.0530728,1053.0728
P_Reservoir2_J37,0.7150879,715.0879
P_Reservoir3_J38,1.5920787,1592.0787
P_Borewell1_J39,1.6311414,1631.1415
P_Borewell2_J40,-3.2192702e-08,-3.21927e-05
P_Reservoir1_J41,2.259343,2259.343
P_Reservoir2_J42,1.2166392,1216.6392
P_Reservoir3_J43,1.7861738,1786.1738
P_Borewell1_J44,1.4380478,1438.0477
P_Borewell2_J45,1.2220076,1222.0077
P_Reservoir1_J46,2.0987322,2098.7322
P_Reservoir2_J47,0.9259488,925.9488
P_Reservoir3_J48,0.42976636,429.76636
P_Borewell1_J49,1.1028785,1102.8784
P_Borewell2_J50,4.2575297,4257.53
P_Reservoir1_J51,1.5038761,1503.8761
P_Reservoir2_J52,1.9479387,1947.9387
P_Reservoir3_J53,2.1840847,2184.0847
P_Borewell1_J54,3.6492698,3649.2698
P_Borewell2_J55,0.943078,943.078
P_Reservoir1_J56,2.6401353,2640.1353
P_Reservoir2_J57,0.9412338,941.2338
P_Reservoir3_J58,1.7529912,1752.9912
P_Borewell1_J59,1.8668784,1866.8784
P_Borewell2_J60,1.1384803,1138.4803
P_Reservoir1_J61,0.9189322,918.9322
P_Reservoir2_J62,0.9114664,911.46643
P_Reservoir3_J63,1.3884671,1388.467
P_Borewell1_J64,1.0671694,1067.1694
P_Borewell2_J65,1.82301,1823.01
P_Reservoir1_J66,1.4031323,1403.1323
P_Reservoir2_J67,2.0386262,2038.6262
P_Reservoir3_J68,1.386166,1386.166
P_Borewell1_J69,2.8706164,2870.6165
P_Borewell2_J70,2.3282917,2328.2917
P_Reservoir1_J71,2.7995067,2799.5066
P_Reservoir2_J72,2.386932,2386.932
P_Reservoir3_J73,2.3642545,2364.2544
P_Borewell1_J74,1.872565,1872.5651
P_Borewell2_J75,1.7177744,1717.7744
P_Reservoir1_J76,1.3714415,1371.4415
P_Reservoir2_J77,1.3403747,1340.3748
P_Reservoir3_J78,1.3736725,1373.6725
P_Borewell1_J79,0.9259093,925.9093
P_Borewell2_J80,1.7831146,1783.1145
P_Reservoir1_J81,2.3091762,2309.1763
P_Reservoir2_J82,2.1779265,2177.9265
P_Reservoir3_J83,0.5394558,539.45575
P_Borewell1_J84,1.4260987,1426.0988
P_Borewell2_J85,5.0849867,5084.987
P_Reservoir1_J86,1.8386184,1838.6184
P_Reservoir2_J87,1.081434,1081.434
P_Reservoir3_J88,1.7627983,1762.7983
P_Borewell1_J89,1.484508,1484.508
P_Borewell2_J90,3.7850242,3785.0242
P_Reservoir1_J91,1.1118143,1111.8142
P_Reservoir2_J92,2.4080157,2408.0156
P_Reservoir3_J93,2.9373395,2937.3396
P_Borewell1_J94,4.4496465,4449.6465
P_Borewell2_J95,0.69194126,691.9413
P_Reservoir1_J96,1.5165927,1516.5928
P_Reservoir2_J97,0.98198587,981.98584
P_Reservoir3_J98,0.95659286,956.59283
P_Borewell1_J99,1.3406549,1340.6549
P_Borewell2_J100,1.9915572,1991.5573
P_Reservoir1_J101,1.1108768,1110.8768
P_Reservoir2_J102,1.1522197,1152.2196
P_Reservoir3_J103,1.2571735,1257.1736
P_Borewell1_J104,0.7862825,786.2825
P_Borewell2_J105,1.0781333,1078.1333
P_Reservoir1_J106,0.9925769,992.5769
P_Reservoir2_J107,1.0229247,1022.9247
P_Reservoir3_J108,1.3683003,1368.3003
P_Borewell1_J109,1.3094827,1309.4827
P_Borewell2_J110,1.5390667,1539.0667
P_Reservoir1_J111,2.712327,2712.327
P_Reservoir2_J112,2.292378,2292.378
P_Reservoir3_J113,1.5169297,1516.9297
P_Borewell1_J114,1.8252747,1825.2747
P_Borewell2_J115,1.2559263,1255.9263
P_Reservoir1_J116,0.7316281,731.6281
P_Reservoir2_J117,2.8512297,2851.2297
P_Reservoir3_J118,1.1915041,1191.5042
P_Borewell1_J119,1.1555783,1155.5782
P_Borewell2_J120,0.7367414,736.7414
P_Reservoir1_J121,1.2177166,1217.7166
P_Reservoir2_J122,1.0189685,1018.96844
P_Reservoir3_J123,1.0829262,1082.9261
P_Borewell1_J124,1.3603569,1360.3569
P_Borewell2_J125,1.0897548,1089.7548
P_Reservoir1_J126,1.1768035,1176.8035
P_Reservoir2_J127,1.5551357,1555.1357
P_Reservoir3_J128,3.018754,3018.754
P_Borewell1_J129,3.8650184,3865.0183
P_Borewell2_J130,2.237452,2237.4521
P_Reservoir1_J131,1.443747,1443.7471
P_Reservoir2_J132,2.0122192,2012.2192
P_Reservoir3_J133,0.97786945,977.86945
P_Borewell1_J134,1.5313872,1531.3872
P_Borewell2_J135,0.8454158,845.4158
P_Reservoir1_J136,1.5193363,1519.3363
P_Reservoir2_J137,0.94598264,945.9826
P_Reservoir3_J138,0.64572746,645.7275
P_Borewell1_J139,0.62571794,625.71796
P_Borewell2_J140,1.9198642,1919.8641
P_Reservoir1_J141,1.2708765,1270.8766
P_Reservoir2_J142,0.7657266,765.7266
P_Reservoir3_J143,1.4134281,1413.4281
P_Borewell1_J144,1.4699303,1469.9303
P_Borewell2_J145,2.3141742,2314.174
P_Reservoir1_J146,1.1075056,1107.5056
P_Reservoir2_J147,1.2523701,1252.3701
P_Reservoir3_J148,1.6049612,1604.9612
P_Borewell1_J149,1.9376724,1937.6724
P_Borewell2_J150,3.8763528,3876.3528
P_Reservoir1_J151,3.358961,3358.9612
P_Reservoir2_J152,1.6700532,1670.0532
P_Reservoir3_J153,2.065005,2065.0051
P_Borewell1_J154,1.5918311,1591.831
P_Borewell2_J155,1.0270807,1027.0807
P_Reservoir1_J156,1.6629256,1662.9257
P_Reservoir2_J157,1.6072536,1607.2535
P_Reservoir3_J158,0.89244086,892.44086
P_Borewell1_J159,3.3579087,3357.9087
P_Borewell2_J160,5.263443,5263.443
P_Reservoir1_J161,1.9558417,1955.8417
P_Reservoir2_J162,2.22333,2223.33
P_Reservoir3_J163,1.6955523,1695.5524
P_Borewell1_J164,1.2501926,1250.1926
P_Borewell2_J165,1.2896019,1289.6019
P_Reservoir1_J166,1.402056,1402.056
P_Reservoir2_J167,1.2519741,1251.9741
P_Reservoir3_J168,1.7543207,1754.3208
P_Borewell1_J169,1.3566272,1356.6272
P_Borewell2_J170,1.2140592,1214.0592
P_Reservoir1_J171,2.146328,2146.328
P_Reservoir2_J172,2.0044513,2004.4513
P_Reservoir3_J173,1.4586778,1458.6777
P_Borewell1_J174,6.622303,6622.303
P_Borewell2_J175,3.4443839,3444.3838
P_Reservoir1_J176,2.9908502,2990.85
P_Reservoir2_J177,2.0446713,2044.6713
P_Reservoir3_J178,2.050388,2050.3882
P_Borewell1_J179,1.3101687,1310.1687
P_Borewell2_J180,1.3917556,1391.7556
P_Reservoir1_J181,3.1165814,3116.5815
P_Reservoir2_J182,2.1329138,2132.9138
P_Reservoir3_J183,1.5323242,1532.3242
P_Borewell1_J184,3.790195,3790.195
P_Borewell2_J185,2.298944,2298.944
P_Reservoir1_J186,0.9704264,970.4264
P_Reservoir2_J187,1.7956227,1795.6227
P_Reservoir3_J188,2.9409356,2940.9355
P_Borewell1_J189,4.0842695,4084.2695
P_Borewell2_J190,1.059038,1059.0381
P_Reservoir1_J191,2.011307,2011.307
P_Reservoir2_J192,3.6666312,3666.631
P_Reservoir3_J193,4.2012095,4201.2095
P_Borewell1_J194,1.1498027,1149.8027
P_Borewell2_J195,3.4580855,3458.0854
P_Reservoir1_J196,3.2996974,3299.6975
P_Reservoir2_J197,1.7710642,1771.0642
P_Reservoir3_J198,1.1110405,1111.0405
