Ward number,Ward Name,connections,consumption_ML,demand_LPS,demand_m3_s
1,Kempegowda Ward,4218,112.883906,1306.5266898148147,1.3065266898148147
2,Chowdeshwari Ward,460,9.808984,113.5299074074074,0.11352990740740741
3,Attur,6109,170.257709,1970.5753356481482,1.9705753356481481
4,Yelahanka Satellite town,7741,405.676363,4695.328275462963,4.695328275462963
5,Jakkur,3752,108.076916,1250.8902314814816,1.2508902314814816
6,Thanisandra,3568,53.430968,618.4139814814815,0.6184139814814815
7,Byatarayanapura,9681,300.193673,3474.46380787037,3.4744638078703702
8,Kodigehalli,5334,134.167843,1552.8685532407408,1.5528685532407407
9,Vidyaranyapura,12942,413.181715,4782.195775462963,4.782195775462963
10,Doddabommasandra,1821,28.410926,328.83016203703704,0.328830162037037
11,Kuvempunagar,4395,65.055924,752.9620833333335,0.7529620833333335
12,Shettyhalli,7363,140.510895,1626.2835069444445,1.6262835069444446
13,Mallasandra,4505,74.839848,866.2019444444444,0.8662019444444444
14,Bagalagunte,10291,273.21169399999997,3162.1723842592587,3.1621723842592586
15,T. Dasarahalli,4567,145.757728,1687.0107407407406,1.6870107407407406
16,Jalahalli,3105,94.738711,1096.5128587962963,1.0965128587962962
17,J.P.Park,5734,130.249564,1507.5181018518517,1.5075181018518518
18,Radhakrishna Temple Ward,5520,100.244418,1160.2363194444445,1.1602363194444445
19,Sanjaynagar,5805,85.176647,985.8408217592593,0.9858408217592592
20,Ganganagar,3328,72.917677,843.9545949074075,0.8439545949074074
21,Hebbal,7455,168.077498,1945.3414120370371,1.9453414120370371
22,VishwanathNagenahalli,3277,79.76684,923.2273148148148,0.9232273148148148
23,Nagavara,9052,198.719715,2299.996701388889,2.299996701388889
24,HBR Layout,8075,240.231719,2780.4597106481483,2.7804597106481483
25,Horamavu,6532,122.770924,1420.9597685185186,1.4209597685185185
26,Ramamurthynagar,9330,263.872784,3054.0831481481487,3.0540831481481487
27,Banasawadi,9609,288.539625,3339.5789930555557,3.3395789930555555
28,Kammanahalli,6628,183.093704,2119.1400925925927,2.119140092592593
29,Kacharakanahalli,4861,134.685729,1558.8626041666666,1.5588626041666667
30,Kadugondanahalli,5210,138.964754,1608.3883564814814,1.6083883564814814
31,Kushalnagar,3137,58.157739,673.1219791666666,0.6731219791666666
32,Kavalbyrasandra,5576,112.744608,1304.9144444444444,1.3049144444444443
33,Manorayanapalya,2664,59.735868,691.3873611111111,0.6913873611111111
34,Gangenahalli,2322,48.011764,555.6917129629629,0.5556917129629629
