Ward number,Ward Name,Node,demand_LPS,Supplied_LPS,Demand_m3_day,Supplied_m3_day,Shortage_m3_day,Shortage_pct,Pressure_m,Head_m,Leakage_m3_day,CostImpact_Rs_day
1,Kempegowda Ward,J1,1306.5266898148147,6.598619645529303,112883.906,570.1207373737318,112313.78526262628,99.49494949494951,138.40921,219.40921,1553.438495676139,224627.57052525255
2,Chowdeshwari Ward,J2,113.5299074074074,0.5733833707444763,9808.984,49.540323232322756,9759.443676767678,99.49494949494951,124.93788,206.93788,115.16416188708801,19518.887353535356
3,Attur,J3,1970.575335648148,9.95240068509156,170257.709,859.8874191919108,169397.8215808081,99.49494949494951,145.77188,228.77188,2531.013985813438,338795.6431616162
4,Yelahanka Satellite town,J4,4695.328275462963,23.71377916900463,405676.363,2048.870520202,403627.49247979803,99.49494949494951,93.2497,177.2497,2834.645331026165,807254.9849595961
5,Jakkur,J5,1250.8902314814816,6.317627431724593,108076.91600000001,545.8430101010049,107531.07298989901,99.49494949494951,102.00288,187.00287,897.0850920277121,215062.14597979802
6,Thanisandra,J6,618.4139814814815,3.123302936775129,53430.96800000001,269.85337373737116,53161.114626262635,99.49494949494951,133.66837,219.66837,697.2877840123241,106322.22925252527
7,Byatarayanapura,J7,3474.46380787037,17.547797009446143,300193.673,1516.129661616147,298677.54333838384,99.49494949494951,118.655075,205.65508,3241.569706651071,597355.0866767677
8,Kodigehalli,J8,1552.8685532407408,7.842770470912756,134167.84300000002,677.6153686868621,133490.22763131317,99.49494949494951,141.31906,229.31906,1904.896117248137,266980.45526262635
9,Vidyaranyapura,J9,4782.195775462963,24.152503916479375,413181.715,2086.7763383838183,411094.9386616162,99.49494949494951,79.45963,168.45964,2065.908575,822189.8773232324
10,Doddabommasandra,J10,328.83016203703704,1.6607583941264337,28410.926000000003,143.4895252525239,28267.43647474748,99.49494949494951,97.892975,187.89297,218.30802829672754,56534.87294949496
11,Kuvempunagar,J11,752.9620833333335,3.8028388047137685,65055.92400000001,328.56527272726964,64727.358727272745,99.49494949494951,127.70202,218.70201,790.7744681649721,129454.71745454549
12,Shettyhalli,J12,1626.2835069444443,8.213553065375901,140510.895,709.650984848478,139801.24401515152,99.49494949494951,117.255356,209.25536,1487.771987265543,279602.48803030304
13,Mallasandra,J13,866.2019444444444,4.374757295173919,74839.848,377.9790303030266,74461.86896969697,99.49494949494951,135.64398,228.64398,998.8572907972558,148923.73793939393
14,Bagalagunte,J14,3162.1723842592587,15.970567597268829,273211.69399999996,1379.857040404027,271831.8369595959,99.49494949494951,85.252335,179.25233,1581.3083714208235,543663.6739191918
15,T. Dasarahalli,J15,1687.0107407407406,8.520256266367294,145757.728,736.1501414141343,145021.57785858586,99.49494949494951,94.02963,189.02963,1035.527689022096,290043.1557171717
16,Jalahalli,J16,1096.5128587962963,5.537943731294372,94738.71100000001,478.4783383838338,94260.23266161617,99.49494949494951,123.49369,219.4937,1091.7739740850384,188520.46532323235
17,J.P.Park,J17,1507.5181018518515,7.61372778713049,130249.56399999998,657.8260808080744,129591.7379191919,99.49494949494951,111.98996,208.98996,1276.2495713566154,259183.4758383838
18,Radhakrishna Temple Ward,J18,1160.2363194444445,5.859779391133501,100244.418,506.28493939393456,99738.13306060607,99.49494949494951,131.48242,229.48242,1275.3458745197338,199476.26612121213
19,Sanjaynagar,J19,985.8408217592593,4.97899404928914,85176.64700000001,430.1850858585817,84746.46191414143,99.49494949494951,80.16004,179.16003,427.927985587882,169492.92382828286
20,Ganganagar,J20,843.9545949074075,4.262396943976764,72917.67700000001,368.27109595959246,72549.40590404042,99.49494949494951,88.01932,188.01932,452.300912827946,145098.81180808085
21,Hebbal,J21,1945.341412037037,9.824956626449586,168077.498,848.8762525252442,167228.62174747474,99.49494949494951,116.70102,217.70102,1765.679832347194,334457.2434949495
22,VishwanathNagenahalli,J22,923.2273148148148,4.662764216236393,79766.84000000001,402.8628282828244,79363.97717171718,99.49494949494951,107.08333,209.08333,722.8869476165802,158727.95434343437
23,Nagavara,J23,2299.996701388889,11.616144956509428,198719.71500000003,1003.6349242424146,197716.0800757576,99.49494949494951,126.16255,229.16255,2369.6098919509873,395432.1601515152
24,HBR Layout,J24,2780.4597106481483,14.042725811354147,240231.71900000004,1213.2915101009985,239018.42748989904,99.49494949494951,72.03724,176.03723,1201.158595,478036.8549797981
25,Horamavu,J25,1420.9597685185186,7.176564487467195,122770.92400000001,620.0551717171658,122150.86882828285,99.49494949494951,109.80594,189.80594,1162.7500391732842,244301.7376565657
26,Ramamurthynagar,J26,3054.0831481481487,15.424662364384439,263872.78400000004,1332.6908282828156,262540.09317171725,99.49494949494951,133.66945,214.66945,3443.6499980873214,525080.1863434345
27,Banasawadi,J27,3339.578993055556,16.86656057098749,288539.62500000006,1457.2708333333194,287082.35416666674,99.49494949494951,123.73842,205.73842,3335.738220733876,574164.7083333335
28,Kammanahalli,J28,2119.1400925925927,10.702727740366527,183093.70400000003,924.715676767668,182168.98832323236,99.49494949494951,145.96176,228.96176,2727.045964113856,364337.9766464647
29,Kacharakanahalli,J29,1558.8626041666666,7.873043455387129,134685.72900000002,680.230954545448,134005.4980454546,99.49494949494951,94.5731,178.5731,967.8469345934849,268010.9960909092
30,Kadugondanahalli,J30,1608.3883564814814,8.12317351758316,138964.75400000002,701.8421919191851,138262.91180808083,99.49494949494951,103.59526,188.59526,1186.6601952199057,276525.82361616165
31,Kushalnagar,J31,673.1219791666666,3.3996059553871723,58157.739,293.7259545454517,57864.01304545455,99.49494949494951,132.93115,218.93115,752.5420960004774,115728.0260909091
32,Kavalbyrasandra,J32,1304.9144444444444,6.590476992143595,112744.60800000001,569.4172121212066,112175.1907878788,99.49494949494951,120.0698,207.0698,1241.37112404576,224350.3815757576
33,Manorayanapalya,J33,691.3873611111111,3.491855359146992,59735.868,301.6963030303001,59434.1716969697,99.49494949494951,141.19621,229.19621,847.020648399042,118868.3433939394
34,Gangenahalli,J34,555.6917129629629,2.80652380284322,48011.764,242.4836565656542,47769.28034343435,99.49494949494951,87.547844,176.54785,294.4166157255224,95538.5606868687
35,Aramane Nagar,J35,923.5133912037036,4.664209046483306,79791.557,402.98766161615765,79388.56933838384,99.49494949494951,97.344864,187.34486,606.5538406769872,158777.13867676767
36,Mathikere,J36,1053.072824074074,5.318549616535676,90985.49200000001,459.5226868686824,90525.96931313133,99.49494949494951,127.01393,218.01393,1096.5652927855342,181051.93862626265
37,Yeshwanthpur,J37,715.0877777777778,3.6115544332210647,61783.584,312.0383030303,61471.545696969704,99.49494949494951,116.87473,208.87473,650.655866764848,122943.09139393941
38,H.M.T,J38,1592.078599537037,8.040801007762735,137555.59100000001,694.7252070707003,136860.8657929293,99.49494949494951,136.18579,229.18579,1847.0783873877836,273721.7315858586
39,Chokkasandra,J39,1631.141400462963,8.238087881125995,140930.61700000003,711.770792929286,140218.84620707075,99.49494949494951,84.55751,178.55751,800.9969894425504,280437.6924141415
40,Doddabidirakalu,J40,-2.3148148148148147e-05,-1.1690983913206021e-07,-0.002,-1.0101010101010003e-05,0.0,0.0,94.99999,190.0,-1.4499997e-05,0.0
41,Peenya Industrial Area,J41,2259.3428703703703,11.410822577628021,195207.22400000002,985.8950707070611,194221.32892929297,99.49494949494951,121.608986,217.609,2194.3923175772297,388442.65785858594
42,Lakshmidevinagar,J42,1216.639189814815,6.144642372802036,105117.62600000002,530.8971010100959,104586.72889898992,99.49494949494951,110.874176,207.87418,1012.4011428739266,209173.45779797985
43,Nandini Layout,J43,1786.1737962962964,9.021079779274137,154325.41600000003,779.4212929292855,153545.99470707073,99.49494949494951,130.48698,228.48698,1940.3407086625516,307091.98941414146
44,Marappanahalli,J44,1438.0477314814814,7.2628673307144815,124247.324,627.5117373737312,123619.81226262626,99.49494949494951,79.705185,178.70518,621.23662,247239.62452525253
45,Malleshwaram,J45,1222.007523148148,6.171755167414829,105581.45,533.2396464646413,105048.21035353535,99.49494949494951,88.27813,188.27812,659.009795303275,210096.4207070707
46,Jayachamarajendra Nagar,J46,2098.732164351852,10.599657395716322,181330.45900000003,915.8103989898904,180414.64860101015,99.49494949494951,116.95577,217.95578,1911.8333055197647,360829.2972020203
47,Devarajeevanahalli,J47,925.9487037037036,4.676508604564114,80001.968,404.05034343433954,79597.91765656565,99.49494949494951,105.94634,207.94633,711.373579359568,159195.8353131313
48,Muneshwaranagar,J48,429.7663194444444,2.1705369668911123,37131.81,187.53439393939212,36944.275606060604,99.49494949494951,126.51579,229.5158,444.74137144198494,73888.55121212121
49,Lingarajapura,J49,1102.8784375,5.570093118686815,95288.69700000001,481.25604545454087,94807.44095454547,99.49494949494951,73.962326,177.96233,476.44348500000007,189614.88190909094
50,Benniganahalli,J50,4257.529444444444,21.50267396184042,367850.544,1857.8310303030123,365992.71296969696,99.49494949494951,107.00795,187.00795,3329.4860849737197,731985.4259393939
51,Vijinapura,J51,1503.8759606481483,7.595333134586534,129934.88300000002,656.2367828282765,129278.64621717174,99.49494949494951,137.68922,218.68922,1774.0507226591897,258557.2924343435
52,K.R.Puram,J52,1947.938449074074,9.83807297512149,168301.882,850.0095050504967,167451.87249494952,99.49494949494951,125.676216,207.67622,1994.6183773157766,334903.74498989905
53,Basavanapura,J53,2184.0846064814814,11.03073033576495,188704.91,953.0551010100918,187751.8548989899,99.49494949494951,144.82774,227.82774,2778.5214763305103,375503.7097979798
54,Hoodi,J54,3649.2696180555554,18.43065463664404,315296.895,1592.408560606045,313704.48643939395,99.49494949494951,93.83153,177.83153,2230.6402443149027,627408.9728787879
55,Devasandra,J55,943.0779282407408,4.763019839599655,81481.933,411.5249141414102,81070.4080858586,99.49494949494951,104.18968,189.18968,703.062947757716,162140.8161717172
56,A. Narayanapura,J56,2640.1353587962963,13.334016963617529,228107.695,1152.0590656565546,226955.63593434345,99.49494949494951,131.95073,217.95073,2918.0926660801024,453911.2718686869
57,C.V. Ramannagar,J57,941.2338310185186,4.753706217265199,81322.603,410.7202171717132,80911.8827828283,99.49494949494951,122.131,209.131,920.5434030489502,161823.7655656566
58,Hosathippasandra,J58,1752.9910185185186,8.853489992517684,151458.424,764.9415353535279,150693.48246464648,99.49494949494951,140.92093,228.92093,2141.3403269621485,301386.96492929297
59,Maruthiseva Nagar,J59,1866.8782060185183,9.428677808174243,161298.277,814.6377626262546,160483.63923737375,99.49494949494951,89.54949,178.5495,1037.5388274843096,320967.2784747475
60,Sagayapuram,J60,1138.4801851851853,5.7498999251776475,98364.68800000001,496.7913535353488,97867.89664646467,99.49494949494951,98.853775,188.85378,770.0052943245801,195735.79329292933
61,S.K. Garden,J61,918.932199074074,4.641071712495278,79395.742,400.98859595959203,78994.75340404041,99.49494949494951,127.71075,218.71074,965.183269643975,157989.50680808083
62,Ramaswamy palya,J62,911.4663888888888,4.603365600448889,78750.696,397.73078787878404,78352.96521212121,99.49494949494951,117.12437,209.12437,832.288976409228,156705.93042424243
63,Jayamahal,J63,1388.467048611111,7.01245984147019,119963.553,605.8765303030244,119357.67646969698,99.49494949494951,136.09616,229.09616,1609.2419644884717,238715.35293939395
64,Rajamahal,J64,1067.1694212962964,5.389744552001445,92203.43800000001,465.67392929292487,91737.76407070708,99.49494949494951,85.67901,179.679,539.5608269654572,183475.52814141416
65,Kadumalleshwara,J65,1823.0098842592597,9.20712062757193,157508.05400000006,795.4952222222148,156712.55877777786,99.49494949494951,94.0444,189.0444,1119.3561870396402,313425.1175555557
66,Subramanyanagar,J66,1403.1321759259258,7.08652614103996,121230.62,612.2758585858526,120618.34414141414,99.49494949494951,123.55947,219.55948,1398.2643332457098,241236.68828282828
67,Nagapura,J67,2038.6260416666669,10.296091119528521,176137.29000000004,889.5822727272642,175247.70772727276,99.49494949494951,111.391205,208.3912,1710.060716780168,350495.4154545455
68,Mahalakshmipuram,J68,1386.1658449074075,7.000837600542394,119764.72900000002,604.872368686863,119159.85663131316,99.49494949494951,130.98643,228.98643,1514.780040744121,238319.71326262632
69,Laggere,J69,2870.61625,14.498061868686728,248021.244,1252.6325454545333,246768.61145454546,99.49494949494951,76.255516,175.25552,1240.1062200000001,493537.2229090909
70,Rajagopalanagar,J70,2328.2912962962964,11.759046950991282,201164.36800000002,1015.9816565656469,200148.38634343437,99.49494949494951,87.61346,187.61346,1235.5553703789922,400296.77268686873
71,Hegganahalli,J71,2799.5065277777776,14.138921857463385,241877.364,1221.6028484848366,240655.76115151515,99.49494949494951,114.11446,215.11446,2447.1141688625157,481311.5223030303
72,herohalli,J72,2386.931747685185,12.055210846894758,206230.90300000002,1041.570217171707,205189.3327828283,99.49494949494951,104.452965,206.45296,1787.5980729466094,410378.6655656566
73,Kottigepalya,J73,2364.2543171296297,11.940678369341448,204271.57300000003,1031.6746111111013,203239.89838888892,99.49494949494951,124.57355,227.57355,2387.1242409041224,406479.79677777784
74,Shakthiganapathi nagar,J74,1872.5648032407407,9.457397996165266,161789.59900000002,817.1191868686791,160972.47981313133,99.49494949494951,75.23979,179.23979,808.947995,321944.95962626266
75,Shankaramata,J75,1717.7743171296297,8.675627864290975,148415.70100000003,749.5742474747403,147666.12675252528,99.49494949494951,108.91292,188.91292,1385.748198463538,295332.25350505055
76,Gayathrinagar,J76,1371.4413078703703,6.92647125187049,118492.52900000001,598.4471161616103,117894.0818838384,99.49494949494951,138.63759,219.63759,1634.6800950347665,235788.1637676768
77,Dattathreya Temple,J77,1340.3745717592592,6.769568544238617,115808.363,584.8907222222166,115223.47227777778,99.49494949494951,124.295204,206.2952,1348.5050745986578,230446.94455555556
78,Pulikeshinagar,J78,1373.6724652777775,6.9377397236250715,118685.30099999999,599.4207121212062,118085.88028787878,99.49494949494951,146.32727,229.32727,1774.23730566874,236171.76057575757
79,Sarvagnanagar,J79,925.9092013888888,4.676309097923635,79998.55500000001,404.0331060606021,79594.52189393941,99.49494949494951,92.428764,176.42877,549.135249065403,159189.04378787882
80,Hoysalanagar,J80,1783.114525462963,9.005628916479523,154061.095,778.0863383838308,153283.00866161616,99.49494949494951,104.66094,189.66095,1340.199188019395,306566.0173232323
81,Vignananagar,J81,2309.1759953703704,11.66250502712297,199512.806,1007.6404343434247,198505.16556565659,99.49494949494951,133.1784,219.1784,2589.0298003885605,397010.33113131317
82,Garudacharpalya,J82,2177.9264930555555,10.999628752805728,188172.84900000002,950.367924242415,187222.4810757576,99.49494949494951,122.10446,209.10446,2129.301674070981,374444.9621515152
83,Kadugodi,J83,539.4557291666666,2.724523884680108,46608.975,235.39886363636134,46373.576136363634,99.49494949494951,140.27942,228.27942,654.4791719691748,92747.15227272727
84,Hagadooru,J84,1426.0985648148148,7.202518004115157,123214.91600000001,622.2975555555496,122592.61844444447,99.49494949494951,90.39357,179.39357,808.171008173518,245185.23688888893
