Node,Pressure(m),Delivered_m3_s,Delivered_LPS
J1,-3506.9695,1.3065268,1306.5267
J2,127.9454,0.11352991,113.529915
J3,138.14914,1.9705756,1970.5756
J4,-50231.348,4.695328,4695.328
J5,97.715546,1.2508904,1250.8904
J6,130.00694,0.618414,618.414
J7,-254.0063,3.474464,3474.4639
J8,-12318.417,1.5528686,1552.8687
J9,7.831206,4.782196,4782.1963
J10,97.892975,0.32883018,328.83017
J11,128.8199,0.7529621,752.9621
J12,-347.64267,1.6262836,1626.2837
J13,-340.75583,0.866202,866.202
J14,85.252335,3.1621726,3162.1726
J15,74.26386,1.6870108,1687.0107
J16,-309.5547,1.0965129,1096.513
J17,-18369.453,1.5075182,1507.5182
J18,22.847162,1.1602364,1160.2363
J19,-638.26666,0.9858409,985.84094
J20,-607.8423,0.8439546,843.95465
J21,112.183136,1.9453416,1945.3416
J22,-2219.534,0.9232273,923.2273
J23,-15197.422,2.2999966,2299.9966
J24,-267.84634,2.78046,2780.46
J25,-382.75485,1.42096,1420.96
J26,-985.1647,3.0540833,3054.0833
J27,-2536.8743,3.339579,3339.579
J28,145.96176,2.1191401,2119.1401
J29,-796.2757,1.5588626,1558.8625
J30,-773.4237,1.6083885,1608.3885
J31,-242.57848,0.67312205,673.1221
J32,101.882774,1.3049146,1304.9146
J33,118.47882,0.69138736,691.3873
J34,-10.020179,0.5556917,555.6917
J35,92.127075,0.9235135,923.5135
J36,-1571.7076,1.0530728,1053.0728
J37,-278.45706,0.7150879,715.0879
J38,131.13219,1.5920787,1592.0787
J39,-218.2089,1.6311414,1631.1415
J40,94.99999,-2.3148e-08,-2.3148e-05
J41,-380.24405,2.259343,2259.343
J42,112.28306,1.2166392,1216.6392
J43,99.66795,1.7861738,1786.1738
J44,-23612.76,1.4380478,1438.0477
J45,85.815,1.2220076,1222.0077
J46,-5071.522,2.0987322,2098.7322
J47,-70.19501,0.9259488,925.9488
J48,-287.6312,0.42976636,429.76636
J49,-12499.044,1.1028785,1102.8784
J50,88.43705,4.2575297,4257.53
J51,110.98942,1.5038761,1503.8761
J52,78.34249,1.9479387,1947.9387
J53,-5368.607,2.1840847,2184.0847
J54,-5410.0312,3.6492698,3649.2698
J55,81.28795,0.943078,943.078
J56,-5069.35,2.6401353,2640.1353
J57,97.57056,0.9412338,941.2338
J58,48.370255,1.7529912,1752.9912
J59,89.54949,1.8668784,1866.8784
J60,97.214134,1.1384803,1138.4803
J61,-325.23477,0.9189322,918.9322
J62,117.639725,0.9114664,911.46643
J63,-428.19547,1.3884671,1388.467
J64,85.89174,1.0671694,1067.1694
J65,-2331.3806,1.82301,1823.01
J66,122.693756,1.4031323,1403.1323
J67,-29326.092,2.0386262,2038.6262
J68,-81.75239,1.386166,1386.166
J69,76.255516,2.8706164,2870.6165
J70,-5969.6963,2.3282917,2328.2917
J71,-89280.59,2.7995067,2799.5066
J72,104.452965,2.386932,2386.932
J73,-1390.324,2.3642545,2364.2544
J74,-399.37943,1.872565,1872.5651
J75,86.7699,1.7177744,1717.7744
J76,131.2557,1.3714415,1371.4415
J77,-22735.281,1.3403747,1340.3748
J78,142.15178,1.3736725,1373.6725
J79,-1162.2307,0.9259093,925.9093
J80,-6099.2363,1.7831146,1783.1145
J81,-14900.277,2.3091762,2309.1763
J82,116.54605,2.1779265,2177.9265
J83,-1331.3531,0.5394558,539.45575
J84,-11005.9375,1.4260987,1426.0988
J85,61.50928,5.0849867,5084.987
J86,104.75838,1.8386184,1838.6184
J87,115.01613,1.081434,1081.434
J88,135.66621,1.7627983,1762.7983
J89,85.7342,1.484508,1484.508
J90,83.965614,3.7850242,3785.0242
J91,13.781727,1.1118143,1111.8142
J92,-4626.7725,2.4080157,2408.0156
J93,-12.353144,2.9373395,2937.3396
J94,-125547.21,4.4496465,4449.6465
J95,75.61674,0.69194126,691.9413
J96,18.685411,1.5165927,1516.5928
J97,107.00253,0.98198587,981.98584
J98,-288.7886,0.95659286,956.59283
J99,72.817116,1.3406549,1340.6549
J100,99.886154,1.9915572,1991.5573
J101,-7.2778487,1.1108768,1110.8768
J102,-7083.689,1.1522197,1152.2196
J103,-8573.693,1.2571735,1257.1736
J104,95.051735,0.7862825,786.2825
J105,104.18164,1.0781333,1078.1333
J106,120.16085,0.9925769,992.5769
J107,90.67025,1.0229247,1022.9247
J108,-472.1867,1.3683003,1368.3003
J109,84.77012,1.3094827,1309.4827
J110,94.760704,1.5390667,1539.0667
J111,127.4846,2.712327,2712.327
J112,-1511.9167,2.292378,2292.378
J113,-746.9618,1.5169297,1516.9297
