name,count,mean,std,min,25%,50%,75%,max
J1,1.0,73400.6796875,,73400.6796875,73400.6796875,73400.6796875,73400.6796875,73400.6796875
J2,1.0,77035.59375,,77035.59375,77035.59375,77035.59375,77035.59375,77035.59375
J3,1.0,77045.796875,,77045.796875,77045.796875,77045.796875,77045.796875,77045.796875
J4,1.0,26676.302734375,,26676.302734375,26676.302734375,26676.302734375,26676.302734375,26676.302734375
J5,1.0,77005.3671875,,77005.3671875,77005.3671875,77005.3671875,77005.3671875,77005.3671875
J6,1.0,77037.65625,,77037.65625,77037.65625,77037.65625,77037.65625,77037.65625
J7,1.0,76653.640625,,76653.640625,76653.640625,76653.640625,76653.640625,76653.640625
J8,1.0,64589.23046875,,64589.23046875,64589.23046875,64589.23046875,64589.23046875,64589.23046875
J9,1.0,76915.484375,,76915.484375,76915.484375,76915.484375,76915.484375,76915.484375
J10,1.0,77005.5390625,,77005.5390625,77005.5390625,77005.5390625,77005.5390625,77005.5390625
J11,1.0,77036.46875,,77036.46875,77036.46875,77036.46875,77036.46875,77036.46875
J12,1.0,76560.0078125,,76560.0078125,76560.0078125,76560.0078125,76560.0078125,76560.0078125
J13,1.0,76566.890625,,76566.890625,76566.890625,76566.890625,76566.890625,76566.890625
J14,1.0,76992.8984375,,76992.8984375,76992.8984375,76992.8984375,76992.8984375,76992.8984375
J15,1.0,76981.9140625,,76981.9140625,76981.9140625,76981.9140625,76981.9140625,76981.9140625
J16,1.0,76598.09375,,76598.09375,76598.09375,76598.09375,76598.09375,76598.09375
J17,1.0,58538.1953125,,58538.1953125,58538.1953125,58538.1953125,58538.1953125,58538.1953125
J18,1.0,76930.4921875,,76930.4921875,76930.4921875,76930.4921875,76930.4921875,76930.4921875
J19,1.0,76269.3828125,,76269.3828125,76269.3828125,76269.3828125,76269.3828125,76269.3828125
J20,1.0,76299.8046875,,76299.8046875,76299.8046875,76299.8046875,76299.8046875,76299.8046875
J21,1.0,77019.828125,,77019.828125,77019.828125,77019.828125,77019.828125,77019.828125
J22,1.0,74688.1171875,,74688.1171875,74688.1171875,74688.1171875,74688.1171875,74688.1171875
J23,1.0,61710.2265625,,61710.2265625,61710.2265625,61710.2265625,61710.2265625,61710.2265625
J24,1.0,76639.8046875,,76639.8046875,76639.8046875,76639.8046875,76639.8046875,76639.8046875
J25,1.0,76524.890625,,76524.890625,76524.890625,76524.890625,76524.890625,76524.890625
J26,1.0,75922.484375,,75922.484375,75922.484375,75922.484375,75922.484375,75922.484375
J27,1.0,74370.7734375,,74370.7734375,74370.7734375,74370.7734375,74370.7734375,74370.7734375
J28,1.0,77053.609375,,77053.609375,77053.609375,77053.609375,77053.609375,77053.609375
J29,1.0,76111.3671875,,76111.3671875,76111.3671875,76111.3671875,76111.3671875,76111.3671875
J30,1.0,76134.2265625,,76134.2265625,76134.2265625,76134.2265625,76134.2265625,76134.2265625
J31,1.0,76665.0703125,,76665.0703125,76665.0703125,76665.0703125,76665.0703125,76665.0703125
J32,1.0,77009.53125,,77009.53125,77009.53125,77009.53125,77009.53125,77009.53125
J33,1.0,77026.125,,77026.125,77026.125,77026.125,77026.125,77026.125
J34,1.0,76897.625,,76897.625,76897.625,76897.625,76897.625,76897.625
J35,1.0,76999.78125,,76999.78125,76999.78125,76999.78125,76999.78125,76999.78125
J36,1.0,75335.9453125,,75335.9453125,75335.9453125,75335.9453125,75335.9453125,75335.9453125
J37,1.0,76629.1953125,,76629.1953125,76629.1953125,76629.1953125,76629.1953125,76629.1953125
J38,1.0,77038.78125,,77038.78125,77038.78125,77038.78125,77038.78125,77038.78125
J39,1.0,76689.4375,,76689.4375,76689.4375,76689.4375,76689.4375,76689.4375
J40,1.0,77002.6484375,,77002.6484375,77002.6484375,77002.6484375,77002.6484375,77002.6484375
J41,1.0,76527.40625,,76527.40625,76527.40625,76527.40625,76527.40625,76527.40625
J42,1.0,77019.9375,,77019.9375,77019.9375,77019.9375,77019.9375,77019.9375
J43,1.0,77007.3203125,,77007.3203125,77007.3203125,77007.3203125,77007.3203125,77007.3203125
J44,1.0,53294.88671875,,53294.88671875,53294.88671875,53294.88671875,53294.88671875,53294.88671875
J45,1.0,76993.4609375,,76993.4609375,76993.4609375,76993.4609375,76993.4609375,76993.4609375
J46,1.0,71836.125,,71836.125,71836.125,71836.125,71836.125,71836.125
J47,1.0,76837.453125,,76837.453125,76837.453125,76837.453125,76837.453125,76837.453125
J48,1.0,76620.015625,,76620.015625,76620.015625,76620.015625,76620.015625,76620.015625
J49,1.0,64408.60546875,,64408.60546875,64408.60546875,64408.60546875,64408.60546875,64408.60546875
J50,1.0,76996.0859375,,76996.0859375,76996.0859375,76996.0859375,76996.0859375,76996.0859375
J51,1.0,77018.6328125,,77018.6328125,77018.6328125,77018.6328125,77018.6328125,77018.6328125
J52,1.0,76985.9921875,,76985.9921875,76985.9921875,76985.9921875,76985.9921875,76985.9921875
J53,1.0,71539.0390625,,71539.0390625,71539.0390625,71539.0390625,71539.0390625,71539.0390625
J54,1.0,71497.6171875,,71497.6171875,71497.6171875,71497.6171875,71497.6171875,71497.6171875
J55,1.0,76988.9375,,76988.9375,76988.9375,76988.9375,76988.9375,76988.9375
J56,1.0,71838.296875,,71838.296875,71838.296875,71838.296875,71838.296875,71838.296875
J57,1.0,77005.21875,,77005.21875,77005.21875,77005.21875,77005.21875,77005.21875
J58,1.0,76956.0234375,,76956.0234375,76956.0234375,76956.0234375,76956.0234375,76956.0234375
J59,1.0,76997.1953125,,76997.1953125,76997.1953125,76997.1953125,76997.1953125,76997.1953125
J60,1.0,77004.8671875,,77004.8671875,77004.8671875,77004.8671875,77004.8671875,77004.8671875
J61,1.0,76582.4140625,,76582.4140625,76582.4140625,76582.4140625,76582.4140625,76582.4140625
J62,1.0,77025.2890625,,77025.2890625,77025.2890625,77025.2890625,77025.2890625,77025.2890625
J63,1.0,76479.453125,,76479.453125,76479.453125,76479.453125,76479.453125,76479.453125
J64,1.0,76993.5390625,,76993.5390625,76993.5390625,76993.5390625,76993.5390625,76993.5390625
J65,1.0,74576.265625,,74576.265625,74576.265625,74576.265625,74576.265625,74576.265625
J66,1.0,77030.34375,,77030.34375,77030.34375,77030.34375,77030.34375,77030.34375
J67,1.0,47581.55859375,,47581.55859375,47581.55859375,47581.55859375,47581.55859375,47581.55859375
J68,1.0,76825.8984375,,76825.8984375,76825.8984375,76825.8984375,76825.8984375,76825.8984375
J69,1.0,76983.90625,,76983.90625,76983.90625,76983.90625,76983.90625,76983.90625
J70,1.0,70937.953125,,70937.953125,70937.953125,70937.953125,70937.953125,70937.953125
J71,1.0,-12372.9482421875,,-12372.9482421875,-12372.9482421875,-12372.9482421875,-12372.9482421875,-12372.9482421875
J72,1.0,77012.1015625,,77012.1015625,77012.1015625,77012.1015625,77012.1015625,77012.1015625
J73,1.0,75517.3203125,,75517.3203125,75517.3203125,75517.3203125,75517.3203125,75517.3203125
J74,1.0,76508.2734375,,76508.2734375,76508.2734375,76508.2734375,76508.2734375,76508.2734375
J75,1.0,76994.421875,,76994.421875,76994.421875,76994.421875,76994.421875,76994.421875
J76,1.0,77038.90625,,77038.90625,77038.90625,77038.90625,77038.90625,77038.90625
J77,1.0,54172.3671875,,54172.3671875,54172.3671875,54172.3671875,54172.3671875,54172.3671875
J78,1.0,77049.8046875,,77049.8046875,77049.8046875,77049.8046875,77049.8046875,77049.8046875
J79,1.0,75745.4140625,,75745.4140625,75745.4140625,75745.4140625,75745.4140625,75745.4140625
J80,1.0,70808.4140625,,70808.4140625,70808.4140625,70808.4140625,70808.4140625,70808.4140625
J81,1.0,62007.37109375,,62007.37109375,62007.37109375,62007.37109375,62007.37109375,62007.37109375
J82,1.0,77024.1953125,,77024.1953125,77024.1953125,77024.1953125,77024.1953125,77024.1953125
J83,1.0,75576.296875,,75576.296875,75576.296875,75576.296875,75576.296875,75576.296875
J84,1.0,65901.7109375,,65901.7109375,65901.7109375,65901.7109375,65901.7109375,65901.7109375
J85,1.0,76969.15625,,76969.15625,76969.15625,76969.15625,76969.15625,76969.15625
J86,1.0,77012.40625,,77012.40625,77012.40625,77012.40625,77012.40625,77012.40625
J87,1.0,77022.6640625,,77022.6640625,77022.6640625,77022.6640625,77022.6640625,77022.6640625
J88,1.0,77043.3203125,,77043.3203125,77043.3203125,77043.3203125,77043.3203125,77043.3203125
J89,1.0,76993.3828125,,76993.3828125,76993.3828125,76993.3828125,76993.3828125,76993.3828125
J90,1.0,76991.6171875,,76991.6171875,76991.6171875,76991.6171875,76991.6171875,76991.6171875
J91,1.0,76921.4296875,,76921.4296875,76921.4296875,76921.4296875,76921.4296875,76921.4296875
J92,1.0,72280.875,,72280.875,72280.875,72280.875,72280.875,72280.875
J93,1.0,76895.296875,,76895.296875,76895.296875,76895.296875,76895.296875,76895.296875
J94,1.0,-48639.5625,,-48639.5625,-48639.5625,-48639.5625,-48639.5625,-48639.5625
